first_commit_message,title,first_comment,files_changed,file_extension,labels,lines_added,lines_removed,everything,all_excluding_first_commit,all_excluding_title,all_excluding_first_comment,all_excluding_labels,all_without_file_extensions,all_string_data,title_commit_comment,final_tag
Added checks for length of 007 to prevent out of bounds errors,Format physical ssim fix for out of bounds errors,,2,java,,210,80,Added checks for length of 007 to prevent out of bounds errors Format physical ssim fix for out of bounds errors  2 java  210 80,Format physical ssim fix for out of bounds errors  2 java  210 80,Added checks for length of 007 to prevent out of bounds errors  2 java  210 80,Added checks for length of 007 to prevent out of bounds errors Format physical ssim fix for out of bounds errors 2 java  210 80,Added checks for length of 007 to prevent out of bounds errors Format physical ssim fix for out of bounds errors  2 java 210 80,Added checks for length of 007 to prevent out of bounds errors Format physical ssim fix for out of bounds errors  2  210 80,Added checks for length of 007 to prevent out of bounds errors Format physical ssim fix for out of bounds errors  java ,Added checks for length of 007 to prevent out of bounds errors Format physical ssim fix for out of bounds errors ,bug
Add SDR to building_facet when 856 has purl.stanford.edu in the URL,Add SDR to building_facet when 856 has purl.stanford.edu in the URL,,3,java,,90,0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL Add SDR to building_facet when 856 has purl.stanford.edu in the URL  3 java  90 0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL  3 java  90 0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL  3 java  90 0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL Add SDR to building_facet when 856 has purl.stanford.edu in the URL 3 java  90 0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL Add SDR to building_facet when 856 has purl.stanford.edu in the URL  3 java 90 0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL Add SDR to building_facet when 856 has purl.stanford.edu in the URL  3  90 0,Add SDR to building_facet when 856 has purl.stanford.edu in the URL Add SDR to building_facet when 856 has purl.stanford.edu in the URL  java ,Add SDR to building_facet when 856 has purl.stanford.edu in the URL Add SDR to building_facet when 856 has purl.stanford.edu in the URL ,feature
Update FileStorage.php,Cake 2.4.1 and php 5.4 complaint,Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors.,3,php,,8,5,Update FileStorage.php Cake 2.4.1 and php 5.4 complaint Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors. 3 php  8 5,Cake 2.4.1 and php 5.4 complaint Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors. 3 php  8 5,Update FileStorage.php Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors. 3 php  8 5,Update FileStorage.php Cake 2.4.1 and php 5.4 complaint 3 php  8 5,Update FileStorage.php Cake 2.4.1 and php 5.4 complaint Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors. 3 php 8 5,Update FileStorage.php Cake 2.4.1 and php 5.4 complaint Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors. 3  8 5,Update FileStorage.php Cake 2.4.1 and php 5.4 complaint Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors. php ,Update FileStorage.php Cake 2.4.1 and php 5.4 complaint Method signatures of Behavior callbacks was corrected. If you are using PHP5.4 you may have to update the method signatures of your behaviors to resolve any E_STRICT errors.,configuration
add RxJava to Real world examples of observer,add RxJava to Real world examples of observer,,1,md,status:underreview,1,0,add RxJava to Real world examples of observer add RxJava to Real world examples of observer  1 md status:underreview 1 0,add RxJava to Real world examples of observer  1 md status:underreview 1 0,add RxJava to Real world examples of observer  1 md status:underreview 1 0,add RxJava to Real world examples of observer add RxJava to Real world examples of observer 1 md status:underreview 1 0,add RxJava to Real world examples of observer add RxJava to Real world examples of observer  1 md 1 0,add RxJava to Real world examples of observer add RxJava to Real world examples of observer  1 status:underreview 1 0,add RxJava to Real world examples of observer add RxJava to Real world examples of observer  md status:underreview,add RxJava to Real world examples of observer add RxJava to Real world examples of observer ,documentation
Add a function-local using to make Stringify calls shorter,Fixes for various issues found while trying to run on Yocto Linux,,8,h cpp,linux,206,116,Add a function-local using to make Stringify calls shorter Fixes for various issues found while trying to run on Yocto Linux  8 h cpp linux 206 116,Fixes for various issues found while trying to run on Yocto Linux  8 h cpp linux 206 116,Add a function-local using to make Stringify calls shorter  8 h cpp linux 206 116,Add a function-local using to make Stringify calls shorter Fixes for various issues found while trying to run on Yocto Linux 8 h cpp linux 206 116,Add a function-local using to make Stringify calls shorter Fixes for various issues found while trying to run on Yocto Linux  8 h cpp 206 116,Add a function-local using to make Stringify calls shorter Fixes for various issues found while trying to run on Yocto Linux  8 linux 206 116,Add a function-local using to make Stringify calls shorter Fixes for various issues found while trying to run on Yocto Linux  h cpp linux,Add a function-local using to make Stringify calls shorter Fixes for various issues found while trying to run on Yocto Linux ,bug
Run platform mode tests concurrently.,Multi-process platform mode. ,,1,sh,CLASigned,9,1,Run platform mode tests concurrently. Multi-process platform mode.   1 sh CLASigned 9 1,Multi-process platform mode.   1 sh CLASigned 9 1,Run platform mode tests concurrently.  1 sh CLASigned 9 1,Run platform mode tests concurrently. Multi-process platform mode.  1 sh CLASigned 9 1,Run platform mode tests concurrently. Multi-process platform mode.   1 sh 9 1,Run platform mode tests concurrently. Multi-process platform mode.   1 CLASigned 9 1,Run platform mode tests concurrently. Multi-process platform mode.   sh CLASigned,Run platform mode tests concurrently. Multi-process platform mode.  ,feature
fixed i2pd qt gui a bit,qt ui fixes,,9,h cpp ui,,74,40,fixed i2pd qt gui a bit qt ui fixes  9 h cpp ui  74 40,qt ui fixes  9 h cpp ui  74 40,fixed i2pd qt gui a bit  9 h cpp ui  74 40,fixed i2pd qt gui a bit qt ui fixes 9 h cpp ui  74 40,fixed i2pd qt gui a bit qt ui fixes  9 h cpp ui 74 40,fixed i2pd qt gui a bit qt ui fixes  9  74 40,fixed i2pd qt gui a bit qt ui fixes  h cpp ui ,fixed i2pd qt gui a bit qt ui fixes ,bug
Fixed ansible version check errors when ansible is not installed on t…,Fixed ansible version check errors and apt install error,"Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command.",1,yml,,3,2,"Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors and apt install error Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command. 1 yml  3 2","Fixed ansible version check errors and apt install error Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command. 1 yml  3 2","Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command. 1 yml  3 2",Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors and apt install error 1 yml  3 2,"Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors and apt install error Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command. 1 yml 3 2","Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors and apt install error Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command. 1  3 2","Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors and apt install error Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command. yml ","Fixed ansible version check errors when ansible is not installed on t… Fixed ansible version check errors and apt install error Fixed ansible version check errors when ansible is not installed on the remote. Fixed ""msg: No package matching 'riak' is available"" error by removing cache
duration from apt install command.",bug
Added the dbhost attribute which allows the database on another host,Add a dbhost attribute which allows the mysql database to be on a different host,Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README.,4,md rb erb,,4,1,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README. 4 md rb erb  4 1,Add a dbhost attribute which allows the mysql database to be on a different host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README. 4 md rb erb  4 1,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README. 4 md rb erb  4 1,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host 4 md rb erb  4 1,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README. 4 md rb erb 4 1,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README. 4  4 1,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README. md rb erb ,Added the dbhost attribute which allows the database on another host Add a dbhost attribute which allows the mysql database to be on a different host Add a dbhost attribute which allows the mysql database to be on a different host. Updated the README.,feature
Improves log output when running unit tests.,Improves log output while running unit tests. ,"Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made.",19,csproj projitems cs sln,,277,33,"Improves log output when running unit tests. Improves log output while running unit tests.  Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made. 19 csproj projitems cs sln  277 33","Improves log output while running unit tests.  Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made. 19 csproj projitems cs sln  277 33","Improves log output when running unit tests. Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made. 19 csproj projitems cs sln  277 33",Improves log output when running unit tests. Improves log output while running unit tests.  19 csproj projitems cs sln  277 33,"Improves log output when running unit tests. Improves log output while running unit tests.  Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made. 19 csproj projitems cs sln 277 33","Improves log output when running unit tests. Improves log output while running unit tests.  Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made. 19  277 33","Improves log output when running unit tests. Improves log output while running unit tests.  Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made. csproj projitems cs sln ","Improves log output when running unit tests. Improves log output while running unit tests.  Passing SourceLevels.All to the CustomLogger ctor in LoggerFactory.CreateLogger() will result in maximum verbosity, and will also print the name of the thread from which the log statement was made.",feature
LLDB 3.7 will fail to locate libraries if arch isn't exact match,LLDB 3.7 will fail to locate libraries if arch isn't exact match,,1,cpp,,1,1,LLDB 3.7 will fail to locate libraries if arch isn't exact match LLDB 3.7 will fail to locate libraries if arch isn't exact match  1 cpp  1 1,LLDB 3.7 will fail to locate libraries if arch isn't exact match  1 cpp  1 1,LLDB 3.7 will fail to locate libraries if arch isn't exact match  1 cpp  1 1,LLDB 3.7 will fail to locate libraries if arch isn't exact match LLDB 3.7 will fail to locate libraries if arch isn't exact match 1 cpp  1 1,LLDB 3.7 will fail to locate libraries if arch isn't exact match LLDB 3.7 will fail to locate libraries if arch isn't exact match  1 cpp 1 1,LLDB 3.7 will fail to locate libraries if arch isn't exact match LLDB 3.7 will fail to locate libraries if arch isn't exact match  1  1 1,LLDB 3.7 will fail to locate libraries if arch isn't exact match LLDB 3.7 will fail to locate libraries if arch isn't exact match  cpp ,LLDB 3.7 will fail to locate libraries if arch isn't exact match LLDB 3.7 will fail to locate libraries if arch isn't exact match ,bug
FormatTests: tidy up and shorten,FormatTests: tidy up and shorten,"in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit.",1,java,,104,164,"FormatTests: tidy up and shorten FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit. 1 java  104 164","FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit. 1 java  104 164","FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit. 1 java  104 164",FormatTests: tidy up and shorten FormatTests: tidy up and shorten 1 java  104 164,"FormatTests: tidy up and shorten FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit. 1 java 104 164","FormatTests: tidy up and shorten FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit. 1  104 164","FormatTests: tidy up and shorten FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit. java ","FormatTests: tidy up and shorten FormatTests: tidy up and shorten in all my confusion over conf proceedings vs. physics library, I ended up cleaning this file up a bit.",refactoring
Keep session channel ownership in the calling function,Don't use unnecessary unique ptr in platform mode,"The destructor for SessionBase will always free its channel in the destructor, prevent double-frees",3,h cpp,CLASigned,4,6,"Keep session channel ownership in the calling function Don't use unnecessary unique ptr in platform mode The destructor for SessionBase will always free its channel in the destructor, prevent double-frees 3 h cpp CLASigned 4 6","Don't use unnecessary unique ptr in platform mode The destructor for SessionBase will always free its channel in the destructor, prevent double-frees 3 h cpp CLASigned 4 6","Keep session channel ownership in the calling function The destructor for SessionBase will always free its channel in the destructor, prevent double-frees 3 h cpp CLASigned 4 6",Keep session channel ownership in the calling function Don't use unnecessary unique ptr in platform mode 3 h cpp CLASigned 4 6,"Keep session channel ownership in the calling function Don't use unnecessary unique ptr in platform mode The destructor for SessionBase will always free its channel in the destructor, prevent double-frees 3 h cpp 4 6","Keep session channel ownership in the calling function Don't use unnecessary unique ptr in platform mode The destructor for SessionBase will always free its channel in the destructor, prevent double-frees 3 CLASigned 4 6","Keep session channel ownership in the calling function Don't use unnecessary unique ptr in platform mode The destructor for SessionBase will always free its channel in the destructor, prevent double-frees h cpp CLASigned","Keep session channel ownership in the calling function Don't use unnecessary unique ptr in platform mode The destructor for SessionBase will always free its channel in the destructor, prevent double-frees",feature
"""includeAttachment"" was not being calculated correctly, thus no attac…",Attachment upload issue,"After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file.",1,cs,,1,1,"""includeAttachment"" was not being calculated correctly, thus no attac… Attachment upload issue After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file. 1 cs  1 1","Attachment upload issue After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file. 1 cs  1 1","""includeAttachment"" was not being calculated correctly, thus no attac… After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file. 1 cs  1 1","""includeAttachment"" was not being calculated correctly, thus no attac… Attachment upload issue 1 cs  1 1","""includeAttachment"" was not being calculated correctly, thus no attac… Attachment upload issue After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file. 1 cs 1 1","""includeAttachment"" was not being calculated correctly, thus no attac… Attachment upload issue After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file. 1  1 1","""includeAttachment"" was not being calculated correctly, thus no attac… Attachment upload issue After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file. cs ","""includeAttachment"" was not being calculated correctly, thus no attac… Attachment upload issue After updating to master yesterday, none of my attachments would no longer be uploaded by the pusher. I tracked it down to the fact that ""follows"" was always being removed from the attachment It appears to me that ""includeAttachment"" was not being calculated correctly, causing ""follows"" to be removed, thus preventing the upload. before the MultiPartUploader had a chance to upload the file.",bug
Implemented Changes to Project Duplication to include Swimlanes and T…,Implemented Changes to Project Duplication to include Swimlanes and Tasks.,"ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'.",8,php ,,223,16,"Implemented Changes to Project Duplication to include Swimlanes and T… Implemented Changes to Project Duplication to include Swimlanes and Tasks. ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'. 8 php   223 16","Implemented Changes to Project Duplication to include Swimlanes and Tasks. ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'. 8 php   223 16","Implemented Changes to Project Duplication to include Swimlanes and T… ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'. 8 php   223 16",Implemented Changes to Project Duplication to include Swimlanes and T… Implemented Changes to Project Duplication to include Swimlanes and Tasks. 8 php   223 16,"Implemented Changes to Project Duplication to include Swimlanes and T… Implemented Changes to Project Duplication to include Swimlanes and Tasks. ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'. 8 php  223 16","Implemented Changes to Project Duplication to include Swimlanes and T… Implemented Changes to Project Duplication to include Swimlanes and Tasks. ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'. 8  223 16","Implemented Changes to Project Duplication to include Swimlanes and T… Implemented Changes to Project Duplication to include Swimlanes and Tasks. ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'. php  ","Implemented Changes to Project Duplication to include Swimlanes and T… Implemented Changes to Project Duplication to include Swimlanes and Tasks. ProjectDuplication::duplicate accepts additional param of type array now. Array includes which optional parts to duplicate. Optional parts are: 'swimlane', 'category', 'task', 'action'.",feature
"Revert ""fix crash"" ",Revert wrong commit,This reverts commit 087e61d.,1,cpp,,5,5,"Revert ""fix crash""  Revert wrong commit This reverts commit 087e61d. 1 cpp  5 5",Revert wrong commit This reverts commit 087e61d. 1 cpp  5 5,"Revert ""fix crash""  This reverts commit 087e61d. 1 cpp  5 5","Revert ""fix crash""  Revert wrong commit 1 cpp  5 5","Revert ""fix crash""  Revert wrong commit This reverts commit 087e61d. 1 cpp 5 5","Revert ""fix crash""  Revert wrong commit This reverts commit 087e61d. 1  5 5","Revert ""fix crash""  Revert wrong commit This reverts commit 087e61d. cpp ","Revert ""fix crash""  Revert wrong commit This reverts commit 087e61d.",revert
Update Japanese translation,Update Japanese translation,I added a Japanese translation and fixed it to make some translations easier to understand than before.,1,php,,974,974,Update Japanese translation Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before. 1 php  974 974,Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before. 1 php  974 974,Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before. 1 php  974 974,Update Japanese translation Update Japanese translation 1 php  974 974,Update Japanese translation Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before. 1 php 974 974,Update Japanese translation Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before. 1  974 974,Update Japanese translation Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before. php ,Update Japanese translation Update Japanese translation I added a Japanese translation and fixed it to make some translations easier to understand than before.,translation
Thread cleanup hook for Android,Thread cleanup hook for Android,"Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this?",3,h c,,11,1,"Thread cleanup hook for Android Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this? 3 h c  11 1","Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this? 3 h c  11 1","Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this? 3 h c  11 1",Thread cleanup hook for Android Thread cleanup hook for Android 3 h c  11 1,"Thread cleanup hook for Android Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this? 3 h c 11 1","Thread cleanup hook for Android Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this? 3  11 1","Thread cleanup hook for Android Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this? h c ","Thread cleanup hook for Android Thread cleanup hook for Android Hi Mark, I’m working on a port of the Swift Foundation module to Android which uses libdispatch which uses libpwq on Linux systems apple/swift-corelibs-foundation#622. Android has a hard requirement that any thread that has interacted with Java JNI detach itself before exiting so I need a function pointer hook in libpwq called before worker thread exit. Would you be able to accomodate this?",feature
Fix options: make useless boolean flags configurable in command line,Fix options: make useless boolean flags configurable in command line,"Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO.",1,cpp,,4,4,"Fix options: make useless boolean flags configurable in command line Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO. 1 cpp  4 4","Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO. 1 cpp  4 4","Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO. 1 cpp  4 4",Fix options: make useless boolean flags configurable in command line Fix options: make useless boolean flags configurable in command line 1 cpp  4 4,"Fix options: make useless boolean flags configurable in command line Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO. 1 cpp 4 4","Fix options: make useless boolean flags configurable in command line Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO. 1  4 4","Fix options: make useless boolean flags configurable in command line Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO. cpp ","Fix options: make useless boolean flags configurable in command line Fix options: make useless boolean flags configurable in command line Currently it is not possible to make nat=false with command line arguments, and other options, which I fixed. Could break some setups which specified those flags explicitly for whatever reason. Worth mentioning in changelog, but should not be a big problem IMO.",bug
Check OTP version on Travis CI,Check OTP version on Travis CI,This is a small fixup for 49db66e.,1,yml,,1,1,Check OTP version on Travis CI Check OTP version on Travis CI This is a small fixup for 49db66e. 1 yml  1 1,Check OTP version on Travis CI This is a small fixup for 49db66e. 1 yml  1 1,Check OTP version on Travis CI This is a small fixup for 49db66e. 1 yml  1 1,Check OTP version on Travis CI Check OTP version on Travis CI 1 yml  1 1,Check OTP version on Travis CI Check OTP version on Travis CI This is a small fixup for 49db66e. 1 yml 1 1,Check OTP version on Travis CI Check OTP version on Travis CI This is a small fixup for 49db66e. 1  1 1,Check OTP version on Travis CI Check OTP version on Travis CI This is a small fixup for 49db66e. yml ,Check OTP version on Travis CI Check OTP version on Travis CI This is a small fixup for 49db66e.,configuration
fix memory leak when using ThreadPool,fix memory leak when using ThreadPool,This memory leak problem can be reproduced by the following code:,1,py,,6,2,fix memory leak when using ThreadPool fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code: 1 py  6 2,fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code: 1 py  6 2,fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code: 1 py  6 2,fix memory leak when using ThreadPool fix memory leak when using ThreadPool 1 py  6 2,fix memory leak when using ThreadPool fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code: 1 py 6 2,fix memory leak when using ThreadPool fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code: 1  6 2,fix memory leak when using ThreadPool fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code: py ,fix memory leak when using ThreadPool fix memory leak when using ThreadPool This memory leak problem can be reproduced by the following code:,bug
